"taskid","replications","replications_used","parnames","method","default_priors","n","time","mean","median","sd","ll","ul","rhat","ess_bulk","ess_tail","mcse_mean","mcse_median","mcse_ll","mcse_ul","summary_output_type"
9,10,9,"cov(beta[1,3],beta[1,3])","BMLVAR",TRUE,200,200,0.0245503709722222,0.0243494444444444,0.00295191165033627,0.0193443888888889,0.0309056111111111,1.00006216782489,21768.3021568896,30966.6062909756,1.98436923088658e-05,2.2777777777778e-05,3.5e-05,5.61111111111108e-05,"summary-fit-mplus-k4-diagnostics"
9,10,9,"cov(beta[2,3],beta[2,3])","BMLVAR",TRUE,200,200,0.0251136336388889,0.0249133333333333,0.00301140258360559,0.0198044444444444,0.0315667222222222,1.00000599993503,21559.3647433717,30919.8957803416,2.04137213684324e-05,2.16666666666666e-05,3.55555555555556e-05,5.16666666666669e-05,"summary-fit-mplus-k4-diagnostics"
9,10,9,"cov(beta[3,3],beta[3,3])","BMLVAR",TRUE,200,200,0.0256091083888889,0.0253977777777778,0.00304445772130652,0.0202366666666667,0.0321588888888889,1.00003705250148,22059.4944605907,30972.8041592961,2.03956464109815e-05,2.38888888888893e-05,3.3888888888889e-05,5.61111111111117e-05,"summary-fit-mplus-k4-diagnostics"
9,10,9,"cov(beta[4,3],beta[4,3])","BMLVAR",TRUE,200,200,0.0224348906944444,0.0222511111111111,0.00273589631712795,0.0176088611111111,0.0283066666666667,1.00002196515071,20376.1132881299,29570.3617854662,1.90857233239678e-05,2.22222222222227e-05,3.05555555555556e-05,5.05555555555554e-05,"summary-fit-mplus-k4-diagnostics"
9,10,9,"cov(beta[1,4],beta[1,4])","BMLVAR",TRUE,200,200,0.0263062202777778,0.0261,0.00307349980145126,0.0208722222222222,0.0328977777777778,1.00002927131767,23578.2751205881,32340.7090086641,1.99479728003374e-05,2.38888888888889e-05,3.55555555555556e-05,6.05555555555552e-05,"summary-fit-mplus-k4-diagnostics"
9,10,9,"cov(beta[2,4],beta[2,4])","BMLVAR",TRUE,200,200,0.0241379746944444,0.0239466666666667,0.00284083096030229,0.0191166666666667,0.03023225,1.00006121262731,22788.786642804,31762.3075518051,1.87162284592574e-05,2.11111111111116e-05,3.16666666666663e-05,5.66666666666665e-05,"summary-fit-mplus-k4-diagnostics"
9,10,9,"cov(beta[3,4],beta[3,4])","BMLVAR",TRUE,200,200,0.0248618603888889,0.0246661111111111,0.00292595526464022,0.0196911111111111,0.0311488888888889,1.00006881913514,23181.641174881,31911.1554150441,1.91124436198425e-05,2.22222222222227e-05,3.11111111111113e-05,5.49999999999999e-05,"summary-fit-mplus-k4-diagnostics"
9,10,9,"cov(beta[4,4],beta[4,4])","BMLVAR",TRUE,200,200,0.0245938444166667,0.0243966666666667,0.00287296595661194,0.0195177777777778,0.0307655833333333,1.00002790297288,23676.2927447469,32178.1364881546,1.85999033234771e-05,2.16666666666666e-05,3.22222222222219e-05,5.3888888888889e-05,"summary-fit-mplus-k4-diagnostics"
9,10,9,"cov(mu[1,1],mu[1,1])","BMLVAR",TRUE,200,200,0.0252679976944444,0.0249766666666667,0.00415275625528956,0.0179744166666667,0.0342389166666667,1.0002722569706,8694.91301564646,14825.9052650567,4.41177657594982e-05,4.61111111111114e-05,6.77777777777778e-05,9.11111111111113e-05,"summary-fit-mplus-k4-diagnostics"
9,10,9,"cov(mu[2,1],mu[2,1])","BMLVAR",TRUE,200,200,0.0253916376944444,0.0251233333333333,0.00393564897628044,0.0184566388888889,0.0338456944444444,1.00010200930299,9929.49392278752,17093.2480948409,3.91980803675207e-05,4.11111111111112e-05,5.83333333333333e-05,8.72222222222218e-05,"summary-fit-mplus-k4-diagnostics"
