"taskid","replications","replications_used","parnames","parameter","method","n","time","heterogeneity","ci","est","se","z","p","ll","ul","sig","zero_hit","theta_hit","sq_error","bias","rel_bias","se_bias","rel_se_bias","rmse","coverage","rejection_rate","power","type1_error","success_rate","n_bias","n_rmse","n_coverage","n_rejection","mcse_bias","mcse_rmse","mcse_coverage","mcse_rejection_rate","mcse_power","mcse_type1_error","summary_output_type"
29,10,8,"tau_sqr[2,1]",0.459565011723042,"Naive",100,100,0,"Normal",0.484400506562485,0.125439357301468,3.82737744960603,0.00317957487459307,0.238543884007757,0.730257129117214,1,0,1,0.0150475151367459,0.0248354948394427,0.0540413090768752,-0.00298277400363048,-0.0232263237910619,0.122668313499232,1,1,1,,0.8,8,8,8,8,0.0454040799501321,0.0283082230601515,0,0,0,,"summary-fit-meta-var-mx-naive"
29,10,8,"tau_sqr[2,2]",1.1,"Naive",100,100,0,"Normal",1.12059200296386,0.158475008979005,7.07109382346148,1.53717162464717e-12,0.80998669291535,1.43119731301237,1,0,1,0.0284733526640782,0.0205920029638601,0.0187200026944183,-0.0205679134981477,-0.114876998283875,0.168740489107026,1,1,1,,0.8,8,8,8,8,0.0633012323035258,0.044102675512089,0,0,0,,"summary-fit-meta-var-mx-naive"
29,10,8,"tau_sqr[3,3]",0,"Naive",100,100,0,"Normal",0.0112076898555559,0.00158500495883001,7.07107531836575,1.53737661793034e-12,0.00810113722093174,0.0143142424901802,1,0,0,0.000127346709592352,0.0112076898555559,,0.000177109794705167,0.125797573014081,0.0112847999358585,0,1,,1,0.8,8,8,8,8,0.000497766108876212,0.000464323388143287,0,0,,0,"summary-fit-meta-var-mx-naive"
29,10,8,"tau_sqr[4,3]",0,"Naive",100,100,0,"Normal",0.00504172958438563,0.00135852171575858,3.67353288971469,0.00386171629142289,0.00237907594928324,0.00770438321948801,1,0,0,2.69930232714554e-05,0.00504172958438563,,1.73128497889443e-05,0.0129083919948798,0.00519548104331595,0,1,,1,0.8,8,8,8,8,0.000474188942057326,0.000459020290920467,0,0,,0,"summary-fit-meta-var-mx-naive"
29,10,8,"tau_sqr[5,3]",0,"Naive",100,100,0,"Normal",0.0142877168328499,0.00202058578482899,7.07107649389723,1.53736359255828e-12,0.0103274414669115,0.0182479921987884,1,0,0,0.000207367052320724,0.0142877168328499,,9.98121237313701e-05,0.0519645420764114,0.0144002448701654,0,1,,1,0.8,8,8,8,8,0.00067909604044332,0.000655972946658607,0,0,,0,"summary-fit-meta-var-mx-naive"
29,10,8,"tau_sqr[6,3]",0,"Naive",100,100,0,"Normal",-0.00355464201617601,0.00105931999032284,-3.34673915118849,0.00266573150317555,-0.00563087104531209,-0.00147841298703994,1,0,0,1.30178240163443e-05,-0.00355464201617601,,0.000398286900007469,0.602521879528683,0.00360802217514586,0,1,,1,0.8,8,8,8,8,0.000233710490375348,0.000220232309618749,0,0,,0,"summary-fit-meta-var-mx-naive"
29,10,8,"tau_sqr[4,4]",0,"Naive",100,100,0,"Normal",-0.00159637135939687,0.00114300677146339,-1.41234716174291,0.313482648497722,-0.00383662346555051,0.000643880746756777,0.375,0.625,0.625,3.71336896963508e-06,-0.00159637135939687,,-1.08525675909155e-05,-0.00940545110100696,0.00192701037092048,0.625,0.375,,0.375,0.8,8,8,8,8,0.000407950881590363,0.000337593877412799,0.171163299220364,0.171163299220364,,0.171163299220364,"summary-fit-meta-var-mx-naive"
29,10,8,"tau_sqr[5,4]",0,"Naive",100,100,0,"Normal",0.00890471413116663,0.00125931569731481,7.07107369448004,1.53739461087597e-12,0.00643650071926365,0.0113729275430696,1,0,0,7.97371765702673e-05,0.00890471413116663,,0.000547583153271824,0.769366467579637,0.00892956754665461,0,1,,1,0.8,8,8,8,8,0.000251635454141976,0.000252555903481048,0,0,,0,"summary-fit-meta-var-mx-naive"
29,10,8,"tau_sqr[6,4]",0,"Naive",100,100,0,"Normal",-0.00244122736571524,0.00112994879887122,-2.12836752451194,0.0901015047629375,-0.00465588631587712,-0.000226568415553354,0.5,0.5,0.5,6.96450716804477e-06,-0.00244122736571524,,5.8279277888549e-05,0.0543817629852062,0.00263903527222445,0.5,0.5,,0.5,0.8,8,8,8,8,0.000378892392738892,0.000361493489144605,0.176776695296637,0.176776695296637,,0.176776695296637,"summary-fit-meta-var-mx-naive"
29,10,8,"tau_sqr[5,5]",0,"Naive",100,100,0,"Normal",-0.00501662837329182,0.00134419567931209,-3.69133679706519,0.00143301293253918,-0.00765120349291786,-0.00238205325366578,1,0,0,2.66500078763743e-05,-0.00501662837329182,,4.21324196429214e-05,0.032358197138307,0.00516236456252116,0,1,,1,0.8,8,8,8,8,0.000460348880222963,0.000440536955821334,0,0,,0,"summary-fit-meta-var-mx-naive"
