"taskid","k","n","time","heterogeneity","output_type","method","stage","replications_requested","files_present","readable","converged","admissible","successful","missing_file","unreadable_file","check_error","nonconvergence","inadmissible","convergence_rate","admissible_rate","success_rate"
17,2,100,100,2,"pipeline-meta-var","MetaVAR","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
17,2,100,100,2,"pipeline-naive","Uncertainty-Uncorrected","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
18,2,200,100,2,"fit-dt-var-mx","Stage 1","Stage 1",10,10,10,10,10,10,0,0,0,0,0,1,1,1
18,2,200,100,2,"fit-meta-var-mx","MetaVAR","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
18,2,200,100,2,"fit-mplus","Mplus DSEM Default","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
18,2,200,100,2,"fit-mplus-priors","Mplus DSEM Alternative Priors","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
18,2,200,100,2,"fit-naive","Uncertainty-Uncorrected","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
18,2,200,100,2,"pipeline-meta-var","MetaVAR","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
18,2,200,100,2,"pipeline-naive","Uncertainty-Uncorrected","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
19,2,50,200,2,"fit-dt-var-mx","Stage 1","Stage 1",10,10,10,10,10,10,0,0,0,0,0,1,1,1
19,2,50,200,2,"fit-meta-var-mx","MetaVAR","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
19,2,50,200,2,"fit-mplus","Mplus DSEM Default","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
19,2,50,200,2,"fit-mplus-priors","Mplus DSEM Alternative Priors","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
19,2,50,200,2,"fit-naive","Uncertainty-Uncorrected","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
19,2,50,200,2,"pipeline-meta-var","MetaVAR","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
19,2,50,200,2,"pipeline-naive","Uncertainty-Uncorrected","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
20,2,100,200,2,"fit-dt-var-mx","Stage 1","Stage 1",10,10,10,10,10,10,0,0,0,0,0,1,1,1
20,2,100,200,2,"fit-meta-var-mx","MetaVAR","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
20,2,100,200,2,"fit-mplus","Mplus DSEM Default","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
20,2,100,200,2,"fit-mplus-priors","Mplus DSEM Alternative Priors","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
20,2,100,200,2,"fit-naive","Uncertainty-Uncorrected","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
20,2,100,200,2,"pipeline-meta-var","MetaVAR","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
20,2,100,200,2,"pipeline-naive","Uncertainty-Uncorrected","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
21,2,200,200,2,"fit-dt-var-mx","Stage 1","Stage 1",10,10,10,10,10,10,0,0,0,0,0,1,1,1
21,2,200,200,2,"fit-meta-var-mx","MetaVAR","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
21,2,200,200,2,"fit-mplus","Mplus DSEM Default","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
21,2,200,200,2,"fit-mplus-priors","Mplus DSEM Alternative Priors","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
21,2,200,200,2,"fit-naive","Uncertainty-Uncorrected","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
21,2,200,200,2,"pipeline-meta-var","MetaVAR","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
21,2,200,200,2,"pipeline-naive","Uncertainty-Uncorrected","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
22,2,50,,2,"fit-dt-var-mx","Stage 1","Stage 1",10,10,10,10,10,10,0,0,0,0,0,1,1,1
22,2,50,,2,"fit-meta-var-mx","MetaVAR","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
22,2,50,,2,"fit-mplus","Mplus DSEM Default","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
22,2,50,,2,"fit-mplus-priors","Mplus DSEM Alternative Priors","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
22,2,50,,2,"fit-naive","Uncertainty-Uncorrected","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
22,2,50,,2,"pipeline-meta-var","MetaVAR","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
22,2,50,,2,"pipeline-naive","Uncertainty-Uncorrected","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
23,2,100,,2,"fit-dt-var-mx","Stage 1","Stage 1",10,10,10,10,10,10,0,0,0,0,0,1,1,1
23,2,100,,2,"fit-meta-var-mx","MetaVAR","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
23,2,100,,2,"fit-mplus","Mplus DSEM Default","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
23,2,100,,2,"fit-mplus-priors","Mplus DSEM Alternative Priors","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
23,2,100,,2,"fit-naive","Uncertainty-Uncorrected","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
23,2,100,,2,"pipeline-meta-var","MetaVAR","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
23,2,100,,2,"pipeline-naive","Uncertainty-Uncorrected","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
24,2,200,,2,"fit-dt-var-mx","Stage 1","Stage 1",10,10,10,10,10,10,0,0,0,0,0,1,1,1
24,2,200,,2,"fit-meta-var-mx","MetaVAR","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
24,2,200,,2,"fit-mplus","Mplus DSEM Default","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
24,2,200,,2,"fit-mplus-priors","Mplus DSEM Alternative Priors","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
24,2,200,,2,"fit-naive","Uncertainty-Uncorrected","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
24,2,200,,2,"pipeline-meta-var","MetaVAR","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
24,2,200,,2,"pipeline-naive","Uncertainty-Uncorrected","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
25,2,50,50,0,"fit-dt-var-mx","Stage 1","Stage 1",10,10,10,10,10,10,0,0,0,0,0,1,1,1
25,2,50,50,0,"fit-meta-var-mx","MetaVAR","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
25,2,50,50,0,"fit-mplus","Mplus DSEM Default","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
25,2,50,50,0,"fit-mplus-priors","Mplus DSEM Alternative Priors","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
25,2,50,50,0,"fit-naive","Uncertainty-Uncorrected","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
25,2,50,50,0,"pipeline-meta-var","MetaVAR","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
25,2,50,50,0,"pipeline-naive","Uncertainty-Uncorrected","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
26,2,100,50,0,"fit-dt-var-mx","Stage 1","Stage 1",10,10,10,10,10,10,0,0,0,0,0,1,1,1
26,2,100,50,0,"fit-meta-var-mx","MetaVAR","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
26,2,100,50,0,"fit-mplus","Mplus DSEM Default","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
26,2,100,50,0,"fit-mplus-priors","Mplus DSEM Alternative Priors","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
26,2,100,50,0,"fit-naive","Uncertainty-Uncorrected","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
26,2,100,50,0,"pipeline-meta-var","MetaVAR","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
26,2,100,50,0,"pipeline-naive","Uncertainty-Uncorrected","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
27,2,200,50,0,"fit-dt-var-mx","Stage 1","Stage 1",10,10,10,10,10,10,0,0,0,0,0,1,1,1
27,2,200,50,0,"fit-meta-var-mx","MetaVAR","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
27,2,200,50,0,"fit-mplus","Mplus DSEM Default","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
27,2,200,50,0,"fit-mplus-priors","Mplus DSEM Alternative Priors","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
27,2,200,50,0,"fit-naive","Uncertainty-Uncorrected","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
27,2,200,50,0,"pipeline-meta-var","MetaVAR","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
27,2,200,50,0,"pipeline-naive","Uncertainty-Uncorrected","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
28,2,50,100,0,"fit-dt-var-mx","Stage 1","Stage 1",10,10,10,10,10,10,0,0,0,0,0,1,1,1
28,2,50,100,0,"fit-meta-var-mx","MetaVAR","Stage 2",10,10,10,10,10,10,0,0,0,0,0,1,1,1
28,2,50,100,0,"fit-mplus","Mplus DSEM Default","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
28,2,50,100,0,"fit-mplus-priors","Mplus DSEM Alternative Priors","Joint",10,10,10,10,10,10,0,0,0,0,0,1,1,1
28,2,50,100,0,"fit-naive","Uncertainty-Uncorrected","Stage 2",10,10,10,7,7,7,0,0,0,3,0,0.7,0.7,0.7
28,2,50,100,0,"pipeline-meta-var","MetaVAR","Full pipeline",10,10,10,10,10,10,0,0,0,0,0,1,1,1
